workerid,condition,response,candidate,probability,batch
1679,maze-event,0,other,0,pre
1918,maze-event,0,trump,0,pre
1918,maze-event,75,harris,1,pre
1918,maze-event,0,other,0,pre
1935,event-spr,84,trump,0.5793103448275863,pre
1935,event-spr,61,harris,0.4206896551724138,pre
1935,event-spr,0,other,0,pre
2716,cloze-event,100,trump,0.6622516556291391,pre
2716,cloze-event,50,harris,0.33112582781456956,pre
2716,cloze-event,1,other,0.006622516556291391,pre
2588,maze-event,52,harris,0.5306122448979592,pre
2588,maze-event,46,trump,0.46938775510204084,pre
2588,maze-event,0,other,0,pre
2720,cloze-event,75,harris,0.6,pre
2720,cloze-event,44,trump,0.352,pre
2720,cloze-event,6,other,0.048,pre
2054,maze-event,48,harris,0.4897959183673469,pre
2054,maze-event,50,trump,0.5102040816326531,pre
2054,maze-event,0,other,0,pre
2522,maze-event,0,trump,0,pre
2522,maze-event,100,harris,1,pre
2522,maze-event,0,other,0,pre
2929,spr-event,95,harris,0.5191256830601093,pre
2929,spr-event,88,trump,0.4808743169398907,pre
2929,spr-event,0,other,0,pre
1518,spr-event,87,harris,0.8529411764705882,pre
1518,spr-event,15,trump,0.14705882352941177,pre
1518,spr-event,0,other,0,pre
1411,spr-event,62,harris,0.6262626262626263,pre
1411,spr-event,37,trump,0.37373737373737376,pre
1411,spr-event,0,other,0,pre
2193,maze-event,75,harris,0.7575757575757576,pre
2193,maze-event,24,trump,0.24242424242424243,pre
2193,maze-event,0,other,0,pre
1946,spr-event,100,trump,1,pre
1946,spr-event,0,harris,0,pre
1946,spr-event,0,other,0,pre
2101,spr-event,54,trump,0.5510204081632653,pre
2101,spr-event,44,harris,0.4489795918367347,pre
2101,spr-event,0,other,0,pre
1775,event-maze,49,harris,0.494949494949495,pre
1775,event-maze,50,trump,0.5050505050505051,pre
1775,event-maze,0,other,0,pre
1488,event-cloze,75,harris,0.6,pre
1488,event-cloze,50,trump,0.4,pre
1488,event-cloze,0,other,0,pre
2381,event-spr,65,harris,0.5855855855855856,pre
2381,event-spr,46,trump,0.4144144144144144,pre
2381,event-spr,0,other,0,pre
1773,cloze-event,59,trump,0.6629213483146067,pre
1773,cloze-event,30,harris,0.33707865168539325,pre
1773,cloze-event,0,other,0,pre
2472,cloze-event,75,trump,0.45454545454545453,pre
2472,cloze-event,88,harris,0.5333333333333333,pre
2472,cloze-event,2,other,0.012121212121212121,pre
2153,spr-event,25,trump,0.25,pre
2153,spr-event,75,harris,0.75,pre
2153,spr-event,0,other,0,pre
1499,event-cloze,14,trump,0.14285714285714285,pre
1499,event-cloze,80,harris,0.8163265306122449,pre
1499,event-cloze,4,other,0.04081632653061224,pre
1616,maze-event,42,harris,0.3888888888888889,pre
1616,maze-event,66,trump,0.6111111111111112,pre
1616,maze-event,0,other,0,pre
2589,spr-event,55,trump,0.5555555555555556,pre
2589,spr-event,44,harris,0.4444444444444444,pre
2589,spr-event,0,other,0,pre
1975,cloze-event,75,trump,0.5319148936170213,pre
1975,cloze-event,65,harris,0.46099290780141844,pre
1975,cloze-event,1,other,0.0070921985815602835,pre
1743,maze-event,79,trump,0.632,pre
1743,maze-event,36,harris,0.288,pre
1743,maze-event,10,other,0.08,pre
1966,event-spr,61,trump,0.6288659793814433,pre
1966,event-spr,36,harris,0.3711340206185567,pre
1966,event-spr,0,other,0,pre
2646,cloze-event,50,harris,0.5154639175257731,pre
2646,cloze-event,47,trump,0.4845360824742268,pre
2646,cloze-event,0,other,0,pre
1641,spr-event,65,harris,0.625,pre
1641,spr-event,39,trump,0.375,pre
1641,spr-event,0,other,0,pre
1536,maze-event,50,harris,0.5,pre
1536,maze-event,50,trump,0.5,pre
1536,maze-event,0,other,0,pre
1609,event-cloze,50,harris,0.5050505050505051,pre
1609,event-cloze,49,trump,0.494949494949495,pre
1609,event-cloze,0,other,0,pre
2858,spr-event,49,trump,0.5,pre
2858,spr-event,49,harris,0.5,pre
2858,spr-event,0,other,0,pre
2124,cloze-event,91,harris,0.5515151515151515,pre
2124,cloze-event,49,trump,0.296969696969697,pre
2124,cloze-event,25,other,0.15151515151515152,pre
2526,spr-event,57,harris,0.5588235294117647,pre
2526,spr-event,45,trump,0.4411764705882353,pre
2526,spr-event,0,other,0,pre
1527,event-cloze,24,trump,0.24242424242424243,pre
1527,event-cloze,75,harris,0.7575757575757576,pre
1527,event-cloze,0,other,0,pre
