workerid,condition,response,candidate,probability
1743,maze-event,36,harris,0.288
1743,maze-event,10,other,0.08
1966,event-spr,61,trump,0.6288659793814433
1966,event-spr,36,harris,0.3711340206185567
1966,event-spr,0,other,0
2646,cloze-event,50,harris,0.5154639175257731
2646,cloze-event,47,trump,0.4845360824742268
2646,cloze-event,0,other,0
1641,spr-event,65,harris,0.625
1641,spr-event,39,trump,0.375
1641,spr-event,0,other,0
1536,maze-event,50,harris,0.5
1536,maze-event,50,trump,0.5
1536,maze-event,0,other,0
1609,event-cloze,50,harris,0.5050505050505051
1609,event-cloze,49,trump,0.494949494949495
1609,event-cloze,0,other,0
2858,spr-event,49,trump,0.5
2858,spr-event,49,harris,0.5
2858,spr-event,0,other,0
2124,cloze-event,91,harris,0.5515151515151515
2124,cloze-event,49,trump,0.296969696969697
2124,cloze-event,25,other,0.15151515151515152
2526,spr-event,57,harris,0.5588235294117647
2526,spr-event,45,trump,0.4411764705882353
2526,spr-event,0,other,0
1527,event-cloze,24,trump,0.24242424242424243
1527,event-cloze,75,harris,0.7575757575757576
1527,event-cloze,0,other,0
2918,spr-event,46,harris,0.38016528925619836
2918,spr-event,75,trump,0.6198347107438017
2918,spr-event,0,other,0
1420,maze-event,50,trump,0.5050505050505051
1420,maze-event,49,harris,0.494949494949495
1420,maze-event,0,other,0
2299,event-maze,63,harris,0.5294117647058824
2299,event-maze,56,trump,0.47058823529411764
2299,event-maze,0,other,0
2943,event-maze,62,harris,0.5961538461538461
2943,event-maze,40,trump,0.38461538461538464
2943,event-maze,2,other,0.019230769230769232
1496,cloze-event,63,trump,0.6116504854368932
1496,cloze-event,40,harris,0.3883495145631068
1496,cloze-event,0,other,0
2235,maze-event,24,trump,0.24242424242424243
2235,maze-event,75,harris,0.7575757575757576
2235,maze-event,0,other,0
2335,event-maze,62,trump,0.62
2335,event-maze,38,harris,0.38
2335,event-maze,0,other,0
2592,spr-event,73,trump,0.7448979591836735
2592,spr-event,25,harris,0.25510204081632654
2592,spr-event,0,other,0
2184,cloze-event,93,harris,0.93
2184,cloze-event,7,trump,0.07
2184,cloze-event,0,other,0
1814,cloze-event,61,trump,0.580952380952381
1814,cloze-event,44,harris,0.41904761904761906
1814,cloze-event,0,other,0
2114,spr-event,53,harris,0.53
2114,spr-event,47,trump,0.47
2114,spr-event,0,other,0
2409,spr-event,52,harris,0.5416666666666666
2409,spr-event,44,trump,0.4583333333333333
2409,spr-event,0,other,0
2273,maze-event,77,harris,0.7623762376237624
2273,maze-event,24,trump,0.2376237623762376
2273,maze-event,0,other,0
2289,event-cloze,51,harris,0.3269230769230769
2289,event-cloze,99,trump,0.6346153846153846
2289,event-cloze,6,other,0.038461538461538464
2218,event-maze,48,harris,0.4897959183673469
2218,event-maze,50,trump,0.5102040816326531
2218,event-maze,0,other,0
1433,event-cloze,38,trump,0.36538461538461536
1433,event-cloze,66,harris,0.6346153846153846
1433,event-cloze,0,other,0
2608,cloze-event,40,harris,0.4
2608,cloze-event,60,trump,0.6
2608,cloze-event,0,other,0
2179,maze-event,55,harris,0.5392156862745098
2179,maze-event,47,trump,0.46078431372549017
2179,maze-event,0,other,0
1976,cloze-event,49,trump,0.494949494949495
1976,cloze-event,50,harris,0.5050505050505051
1976,cloze-event,0,other,0
2672,spr-event,50,trump,0.4854368932038835
2672,spr-event,50,harris,0.4854368932038835
2672,spr-event,3,other,0.02912621359223301
2814,event-maze,100,trump,1
2814,event-maze,0,harris,0
2814,event-maze,0,other,0
1729,cloze-event,60,harris,0.6
1729,cloze-event,40,trump,0.4
1729,cloze-event,0,other,0
2231,event-spr,39,harris,0.3939393939393939
2231,event-spr,60,trump,0.6060606060606061
2231,event-spr,0,other,0
1747,event-cloze,50,trump,0.49504950495049505
1747,event-cloze,51,harris,0.504950495049505
1747,event-cloze,0,other,0
1670,spr-event,24,harris,0.24742268041237114
1670,spr-event,73,trump,0.7525773195876289
1670,spr-event,0,other,0
1973,spr-event,6,trump,0.06521739130434782
